Frame,X_avg,Y_avg,Z_avg
338.0,1498.8905078969128,-2551.6287501231263,2711.838052785004
339.0,1504.546012987502,-2525.871167093102,2675.087409052793
1024.0,4290.171495472177,1369.331038168389,801.1179878911573
1026.0,4248.601729888739,1404.2404932738907,812.427740653845
1027.0,4234.018202847515,1406.501835476434,812.3132128037416
1028.0,4209.602737420615,1425.596428403162,826.2696240782872
1029.0,4194.983503541567,1427.8639804017014,826.1651294784247
1030.0,4182.813327549482,1425.9247721681936,822.5454084099601
1031.0,4175.541267331323,1415.5720434705916,811.8952344042916
1032.0,4173.1673228870895,1396.8057943088952,794.2146074614191
1033.0,4175.691494216782,1369.6260246831046,769.5035275813425
1034.0,4183.1137813204,1334.0327345932196,737.7619947640619
1035.0,4195.434184197945,1290.0259240392404,698.9900090095773
1036.0,4212.652702849415,1237.605593021167,653.1875703178887
1037.0,4234.769337274811,1176.771741538999,600.354678688996
1038.0,4261.784087474132,1107.524369592737,540.4913341228994
1039.0,4293.69695344738,1029.8634771823806,473.5975366195987
1040.0,4330.507935194553,943.78906430793,399.673286179094
1041.0,4372.217032715653,849.301130969385,318.7185828013853
1042.0,4418.824246010678,746.3996771667457,230.73342648647258
2405.0,3526.2171123584485,8802.744186915803,1349.7909216113942
2406.0,3547.4558280906704,8641.739154017236,1435.4922612813257
2407.0,3553.2611895083255,8475.065816636714,1506.5848116922234
2408.0,3572.058956373575,8306.862870772664,1584.3353584649344
2409.0,3586.4415264327063,8154.180283801094,1635.6380433527802
2410.0,3633.5013766096104,7997.501058013106,1658.755113615146
2411.0,3654.174917503289,7844.029342855562,1689.6011179232764
2412.0,3672.574018172895,7706.883784910021,1721.1832766749978
2413.0,3697.9815541244184,7563.965828415455,1740.681320501232
2414.0,3724.3449655352056,7433.402518707307,1756.2815428697506
2415.0,3760.6858305124133,7316.295226826622,1775.070793375054
2416.0,3756.134758951396,7182.374523459106,1789.5147326155463
2417.0,3789.1545886587196,7064.0187719983605,1791.1708926023155
2418.0,3817.284319682509,6947.226457658692,1798.6474531725216
2419.0,3826.0848404808653,6821.8992241957,1794.013013029912
2420.0,3864.1333212662335,6734.059869685378,1789.545665952402
2421.0,3868.467040604526,6612.743266524663,1779.0406390751768
2422.0,3893.3458305286204,6501.775378202726,1772.6608164284578
2423.0,3889.7495294786722,6392.045679647865,1755.102052258322
2424.0,3918.2976581067496,6289.381374897544,1730.5286049366257
2425.0,3931.4133429787607,6179.325475837173,1702.5233632212098
2426.0,3944.8696413227844,6087.457815896772,1669.600880862862
2427.0,3951.62396644551,5982.085071698975,1646.7199539955866
2428.0,3957.3164029372488,5896.013037796169,1608.878600635073
2429.0,3982.527187902071,5792.955486236446,1568.9813861615194
2430.0,3987.796627255124,5706.929974960506,1524.578435766174
2431.0,4007.608232740764,5620.380714380172,1490.991052689148
2432.0,4019.6287672031026,5530.239662675901,1438.1601803259339
2433.0,4050.6014295830614,5443.685372694857,1387.5633052388634
2434.0,4062.540573957163,5370.409406283774,1336.286500094461
2435.0,4040.1459166556715,5285.280656030439,1286.8774826171707
2436.0,4060.5037128474014,5210.587132888359,1228.1158395564457
2437.0,4098.315407132099,5132.147220025237,1171.9496004539335
2438.0,4061.305811026096,5067.788493892711,1111.131521170814
2439.0,4081.0256182005805,4993.459676888111,1049.5897381920838
2440.0,4114.927776195187,4916.638337165493,987.8670292894509
2441.0,4177.194635830037,4834.831952006838,925.7824685390126
2442.0,4267.826197105131,4748.0405214121465,863.3360559407689
2443.0,4386.822460020469,4656.264045381418,800.5277914947198
2444.0,4243.3353859716735,5613.812732293093,1634.1740599499192
2445.0,4199.520581999635,5870.729435725309,1906.5655399013688
2446.0,4218.230028824624,6161.776444132671,2184.602616776154
2447.0,4282.023285555327,6417.048711884569,2433.852102682714
2448.0,4279.646566398497,6661.856237610089,2632.6556364127578
2449.0,4298.7669662609715,6930.093318437257,2891.334886056845
2450.0,4296.336523982209,7127.859496443023,3065.148347322464
2451.0,4333.8018604855715,7339.645475834079,3244.365207637423
2452.0,4352.90017005919,7541.396308181138,3406.2523974166897
2453.0,4384.197275933627,7755.758909560248,3555.229339492006
2454.0,4391.437943934408,7931.765910246622,3697.005351870351
2455.0,4363.464257668344,8094.593637173022,3705.907914111486
2456.0,4326.6869828355675,8254.126545659428,3681.5921138183185
2457.0,4272.302530869368,8407.069817265849,3590.839588456546
2458.0,4200.310901769745,8553.42345199228,3433.6503380261684
2459.0,4110.712095536699,8693.187449838724,3210.024362527186
2460.0,4003.50611217023,8826.361810805181,2919.961661959598
2461.0,3878.6929516703376,8952.946534891653,2563.4622363234057
2462.0,3736.2726140370223,9072.941622098135,2140.526085618608
2463.0,3576.2450992702834,9186.34707242463,1651.1532098452053
2464.0,3398.6104073701217,9293.16288587114,1095.3436090031978
2465.0,3203.3685383365364,9393.389062437662,473.0972830925848
2466.0,2990.5194921695283,9487.025602124195,1.0
2467.0,2760.0632688690966,9574.072504930742,1.0
2468.0,2511.999868435242,9654.529770857302,1.0
2511.0,4887.4637473861985,13057.577687030482,2845.9382372333475
2580.0,1319.543250757716,1128.1589989720835,2485.3019886070356
2581.0,1255.9799999418065,1052.2083510459754,2375.9438545555186
2583.0,1247.582318095912,1006.3537948586497,2161.871371060215
2584.0,1253.2775454884584,992.2637450703944,2055.2221113632077
2585.0,1331.0115398910448,1413.4245735871054,2098.402515215152
2586.0,1194.8298068141848,1837.8203797530716,2166.768285896441
2587.0,1028.9986830749206,2299.0262553859943,2251.8174230116997
2588.0,1276.6522129915218,2597.4590985008404,2309.6709771618193
2589.0,1347.0789054411116,2969.8490500760445,2381.6365852864083
2590.0,1476.5365766125442,3327.380186053888,2454.6307183947984
2591.0,1665.0252265058198,3670.052506434371,2528.6533764869882
2592.0,1270.0071739126424,3878.4447660192736,2513.824227539518
2593.0,1348.0812727244186,4126.265525244632,2543.9113263201375
2594.0,1345.0509091709655,4362.9114558270685,2591.7248219213006
2595.0,1320.3339218698104,4646.214665856421,2590.229525165009
2596.0,1290.4742673525027,4901.778569899425,2602.973037700467
2597.0,1330.7174666635194,5103.53188728431,2606.384976079769
2598.0,1324.8664122397136,5309.875333978271,2609.473137550778
2599.0,1331.2549111002343,5510.232324363612,2605.220806190642
2600.0,1350.1767944315848,5687.132341782127,2607.5218091692163
2601.0,1355.8859656302348,5875.484898978379,2591.5455130864784
2602.0,1366.260616053594,6047.550846154044,2576.997192428164
2603.0,1365.840132321772,6227.161900736245,2559.38673511618
2604.0,1378.2193627793556,6380.804786735627,2540.845172116983
2605.0,1397.4390014621583,6555.254313562266,2509.624515610596
2606.0,1412.0124561621744,6683.655101845197,2505.777684295791
2607.0,1394.4956101701139,6840.1852277575545,2459.8140785631995
2608.0,1370.6982146556727,6980.451692116169,2441.0453127964774
2609.0,1373.337216005868,7113.428697031321,2405.0671585461023
2610.0,1379.2297240038592,7246.038144479201,2370.37312662738
2611.0,1391.3151537260972,7372.397425218272,2323.317240964533
2612.0,1404.9488138793968,7497.194164280139,2273.170891865655
2613.0,1359.3265720773777,7617.997515553857,2253.124638428852
2614.0,1372.9359462928783,7737.148400551391,2201.7879711435035
2615.0,1381.9726591256797,7835.109722477423,2134.764008831943
2616.0,1375.0697409065083,7952.266497763929,2089.915672796097
2617.0,1384.9805912892612,8062.363564668363,2038.5682770936824
2618.0,1383.1510017481633,8168.7711921993005,1976.3864451486286
2619.0,1400.2428816490562,8267.043158126738,1908.7485549582125
2620.0,1387.3357883285094,8373.678757928692,1849.9779294440038
2621.0,1409.6539747529075,8458.160668981507,1785.08490485895
2622.0,1389.754973842931,8563.167571389178,1705.1630714130192
2623.0,1416.6486059091542,8637.99544389218,1637.2621581033961
2624.0,1458.9572644509744,8698.406887101462,1578.2749159435891
2625.0,1470.3962047470498,8774.450342424818,1510.3987813171436
2626.0,1462.0121213354157,8855.674963913034,1435.2457879625183
2627.0,1454.4195443508008,8936.047097433118,1361.9618263544223
2628.0,1471.9119067889478,8970.76525808685,1311.740695459672
2629.0,1495.6755040827852,8994.069925523996,1267.285272243258
2630.0,1545.3945874469136,8526.105181072297,1428.9537335311006
2631.0,1546.709757812637,8341.786911612327,1529.3248737959884
2632.0,1594.604019876559,8174.002013328966,1588.953448030585
2633.0,1558.2089718466057,8084.4332943970585,1660.4160256009254
2634.0,1588.040335132011,7943.949402865364,1750.5313377306272
2635.0,1622.9585714085222,7795.601390108196,1808.8881451579498
2636.0,1630.5384410417173,7662.668928772725,1857.776765868524
2637.0,1657.741296554845,7526.127700927894,1896.0440432135536
2638.0,1671.8999572771638,7389.02344803027,1922.6436440691382
2639.0,1694.7194947089338,7275.541355657237,1931.203891988015
2640.0,1728.6235362457064,7143.581913481126,1940.226182761655
2641.0,1742.698264622975,7034.625449697945,1945.9279631064142
2642.0,1750.0239637510392,6910.387862398413,1950.464947588084
2643.0,1800.7423299983484,6813.259549690502,1960.1822237335368
2644.0,1809.45440506687,6695.22972036478,1943.897601036241
2645.0,1814.0172385278202,6586.11790881135,1946.3219987375446
2646.0,1828.582230471838,6485.272049037292,1945.4955873602578
2647.0,1830.1426387821894,6380.596791285979,1944.731220240855
2648.0,1822.2764941769435,6269.691430101621,1922.3035788400841
2649.0,1838.2792450164484,6170.147228190776,1906.773281143821
2650.0,1845.7272468173765,6079.927132528267,1882.739414574097
2651.0,1859.8722705885684,5982.265165210453,1866.7605029490026
2652.0,1861.6734218236056,5882.489985400233,1828.704474776463
2653.0,1860.454386995604,5788.794454891241,1800.6656113417623
2654.0,1872.5685548113627,5702.134466686831,1764.6074856511561
2655.0,1877.285423518815,5615.428390464489,1721.9987088873575
2656.0,1887.5556443168389,5529.923249870514,1688.4436517549477
2657.0,1900.2756347464558,5445.516630563574,1636.1966376729724
2658.0,1902.0036147233081,5355.73620246404,1588.8925596854358
2659.0,1906.183335422593,5278.794530674894,1530.6633020407187
2660.0,1903.5605330053938,5205.8745241382985,1482.659892591837
2661.0,1910.1685429482363,5133.289873039642,1433.955121344375
2662.0,1916.2423262770153,5062.372007796514,1369.292733647052
2663.0,1947.7022809481778,4993.252039172603,1307.0879631827727
2664.0,1939.5687976723923,4915.10366428942,1236.3490712295154
2665.0,1947.0027973989527,4848.178837849657,1164.48792320535
2666.0,1954.65766484614,4783.839676492027,1106.9150251915048
2667.0,1953.0639998987403,4712.76714314584,1030.2609110168737
2668.0,1988.541883036083,4657.681811074344,964.6581797752401
2669.0,1978.691456017313,4599.746624944117,904.6298589411819
2670.0,1957.5089514595147,4541.098975299206,845.9951407090174
2671.0,1913.6622918236603,4481.02639862493,790.1476276806407
2672.0,1809.359436367801,5545.102852945898,1973.8950800401326
2673.0,1754.5180849221251,5837.012644704535,2307.496155243779
2674.0,1685.1286748398247,6131.795470500657,2633.9187927501266
2675.0,1648.2648413862144,6386.88414368535,2902.1723594005566
2676.0,1550.8294640708664,6608.048530796217,3156.2581387466644
2677.0,1549.7997142178974,6797.822744498502,3369.9346429716475
2678.0,1504.5124154900973,7002.0193890315395,3574.6366703960857
2679.0,1453.1169816000001,7246.515930297351,3691.651480597458
2680.0,1400.1945139193288,7501.087445746355,3786.744486493064
2681.0,1344.2179786575089,7775.808909561747,3837.9938837771365
2682.0,1285.1873758145405,8070.680321743525,3845.3996724496765
2683.0,1223.1027053904236,8385.701682291692,3808.9618525106835
2684.0,1157.9639673851582,8720.872991206243,3728.680423960157
2685.0,1089.7711617987443,9076.194248487183,3604.555386798097
2686.0,1018.5242886311819,9451.665454134509,3436.5867410245055
2687.0,944.223347882471,9847.286608148224,3224.7744866393805
2688.0,866.8683395526116,10263.057710528323,2969.118623642722
2689.0,786.4592636416037,10698.978761274811,2669.61915203453
2690.0,702.9961201494473,11155.049760387685,2326.2760718148065
2691.0,616.4789090761424,11631.270707866948,1939.0893829835495
2692.0,526.907630421689,12127.641603712595,1508.059085540759
2765.0,902.7178346386023,8015.35293429989,2502.3223920203136
2766.0,981.4952067786953,7701.162409385649,2497.2158913857347
2767.0,980.7628259117436,7451.752716431254,2482.363102711846
2768.0,1003.0824820487466,7177.639518858582,2459.312792052366
2769.0,1056.1544854962833,6945.727002454109,2430.5406205095533
2770.0,1051.6777367275963,6672.64156011733,2421.4254395715016
2771.0,1063.1607504993926,6469.216918683226,2386.983825738365
2772.0,1102.9795061815933,6262.7116145768105,2350.8825922098176
2773.0,1093.649659721706,6063.010580156789,2338.250004748283
2774.0,1098.576639517012,5872.454056320771,2304.665173879188
2775.0,1102.71369102825,5673.261974494912,2274.0666187432985
2776.0,1160.9677452563924,5516.081612946568,2223.0533088005473
2777.0,1133.386999402826,5322.303545562547,2197.6079094630513
2778.0,1120.4615057945853,5168.777835502107,2144.5648017611516
2779.0,1149.3623989554062,4989.784906857804,2114.058113665323
2780.0,1153.4409059222712,4837.937291124365,2083.449192191735
2781.0,1167.6543533723939,4704.950450302618,2023.5483884921916
2782.0,1175.4937251515657,4546.510260306639,1973.73015779571
2783.0,1216.0587921698618,4416.182426201097,1922.6699404200274
2784.0,1235.7623358985197,4285.989268181964,1876.4348610045204
2785.0,1231.9605146326057,4151.000343789851,1818.4380656480564
2786.0,1242.6433344754262,4026.805239381222,1764.5673306698084
2787.0,1292.347395191155,3927.7140673056683,1737.8057016687474
2788.0,1276.892379351523,3790.941819958067,1653.4525173660427
2789.0,1286.5857233179681,3674.648844372261,1591.8281018774921
2790.0,1317.163094633253,3605.4990180615687,1538.336236521
2791.0,1352.9614727857477,3548.134979069655,1486.8775086975224
2792.0,1399.2018646126623,3514.3425147152975,1439.4850559400743
2793.0,1455.8842701139968,3504.1216249984973,1396.1588782486551
2794.0,1225.0120145153724,3981.3323753112772,1659.966406340939
2795.0,1155.5250360389384,4156.209956452052,1755.4491232586256
2796.0,1193.428272545789,4301.7222563143205,1840.3325448799199
2797.0,1209.0507630580157,4436.811928106556,1923.7155591617552
2798.0,1177.1517041525763,4600.6655516180135,2004.6473572712428
2799.0,1207.1517839783733,4759.09547544344,2058.976820958385
2800.0,1209.8595821310507,4909.808891317251,2111.464656442728
2801.0,1173.030757208108,5052.631646875751,2162.8795143608863
2802.0,1122.684739710264,5196.865105210992,2199.5386555161963
2803.0,1099.9107621222424,5332.848511527509,2229.9934215610606
2804.0,1100.6160801119995,5463.977947067062,2264.492309444218
2805.0,1075.7720854657352,5594.443458384366,2291.5180845125174
2806.0,1063.5706938856547,5730.975306676094,2312.4907169683243
2807.0,1058.2804957068204,5843.349183989008,2319.7826289212844
2808.0,1024.183956259881,5970.317653497265,2353.4775311462367
2809.0,1050.4416347187675,6077.517948294643,2341.280477856759
2810.0,1029.1708328666268,6196.848239985879,2342.6966098914813
2811.0,1026.4940575577687,6311.884187172973,2344.831657837807
2812.0,1022.2076773076182,6413.763781009132,2333.7456622586565
2813.0,1007.1236098214782,6527.34086433906,2328.4370457067967
2814.0,1036.2127926478315,6618.841166593449,2326.2663668891337
2815.0,1002.9665819483247,6715.8028811093545,2307.137473108241
2816.0,1003.2203215136542,6816.677983858924,2279.328010864909
2817.0,992.5831871717091,6915.734836579451,2262.4885108256794
2818.0,959.5402780448323,7007.678916535357,2236.03908278994
2819.0,948.3147067496492,7096.4997959205875,2206.1383882710784
2820.0,959.0591633187529,7188.301804327586,2173.0377381696235
2821.0,947.77935760411,7278.046228385936,2122.6967951625293
2822.0,909.9729780527588,7343.177515073021,2098.0744970338146
2823.0,924.5527321373924,7428.152734714714,2050.5145338239204
2824.0,895.4680713621448,7510.537670876092,2017.9355926504345
2825.0,867.4539957874326,7579.419001085599,1968.2164840936794
2826.0,897.253290496173,7664.865483778549,1902.6819052931683
2827.0,879.5047213355533,7721.3571513666075,1862.9067949369316
2828.0,899.3417195524689,7780.536840788456,1816.8923853100976
2829.0,905.53985952035,7854.003920795076,1751.6696377676662
2830.0,887.9257527232047,7916.949671324982,1683.346573029693
2831.0,918.3365012951589,7978.68969337831,1627.4962171860118
2832.0,893.3752193166569,8055.665228762242,1550.3093460439447
2833.0,889.3732801753584,8125.8837903147405,1481.0172568391845
2834.0,896.2796167113805,8183.838878329328,1418.5275407119923
2835.0,877.4051604829948,8246.63602750216,1339.8558492035463
2836.0,859.4420268935477,8306.030510718389,1236.863540759093
2837.0,898.5463170136817,8350.02135566668,1178.99555539088
2838.0,882.429468304149,8412.934236480143,1105.408503735905
2839.0,875.0000609351142,8463.01557143173,999.275505789191
2840.0,848.7514585107007,8565.419233575061,907.0720891407174
2841.0,817.7980573224424,8680.903477516329,818.3510678168038
2842.0,777.4350586064949,8822.54888505347,736.5948371420104
2843.0,1329.8326270108694,7652.2934222357535,1867.0614733758543
2844.0,1513.178788185918,7408.386984868368,2155.125618341185
2845.0,1688.5578467007408,7157.424944509795,2395.835787273193
2846.0,1799.4118622675924,6955.500455436542,2616.7298576886387
2847.0,1896.0577189062415,6737.942620993602,2833.2084008069646
2848.0,2015.1422017764005,6558.909823081948,3000.9520915724847
2849.0,2137.2994870514003,6364.485294041267,3223.6843884863433
2850.0,2278.2285443165947,6156.456696698946,3323.873994528535
2851.0,2352.1693577028946,6002.111100398188,3471.1214443420013
2852.0,2449.6286564161564,5856.721389264958,3605.488946855266
2853.0,2552.967576461159,5713.57064942361,3736.6364625434803
2854.0,2668.0657391696423,5574.8978521660265,3861.344004581594
2855.0,2794.9231445416067,5440.702997492207,3979.611572969607
2856.0,2933.539792577052,5310.986085402152,4091.43916770752
2857.0,3083.9156832759786,5185.747115895861,4196.826788795332
2858.0,3246.050816638386,5064.986088973334,4295.774436233041
2859.0,3419.9451926642746,4948.703004634571,4388.282110020653
2860.0,3605.598811353644,4836.897862879572,4474.349810158163
2861.0,3803.0116727064947,4729.570663708338,4553.9775366455715
2862.0,4012.183776722826,4626.721407120867,4627.1652894828785
2863.0,4233.115123402638,4528.350093117161,4693.913068670087
2864.0,4465.805712745932,4434.456721697219,4754.220874207194
2865.0,4710.255544752707,4345.041292861041,4808.0887060942005
2909.0,4909.015059102774,1122.019512014621,3054.858431297088
2910.0,4928.890298111257,1097.7280967712995,2945.939871155141
2911.0,4953.976946738814,1076.5932947390509,2843.375075864127
2912.0,4977.60698558116,1052.2160416743402,2738.4300208032882
2913.0,5005.2881757363275,1030.8465814711922,2626.4973921094575
2914.0,5018.044907429327,1028.54921684925,2511.0984245140935
2915.0,5065.199428782973,997.5420765365826,2400.8793552191282
2916.0,5082.77738942039,966.3939696545725,2292.7407401193473
2917.0,5093.239333309824,957.7754890751139,2182.452507822393
2918.0,5105.480297969454,946.1940894064879,2058.2756005511187
2919.0,5149.6188979273,912.5259419740621,1950.6645203583928
2920.0,5124.310009403033,905.684497373951,1840.0615321526905
2921.0,5153.2439836519825,896.0930106323203,1725.228059038521
2922.0,5180.966412627158,879.8386908410987,1639.6713452481843
2923.0,5210.786417395308,1458.0497641775737,1655.1843008779026
2924.0,5238.286589789237,1840.571647765677,1722.9787919080452
2925.0,5265.206804089612,2174.1712339166875,1803.8436667882938
2926.0,5294.230808122475,2583.9660673038707,1847.2051788081483
2927.0,5301.199254547937,2906.751876954999,1889.8872801544878
2928.0,5304.66709051654,3221.3857865864657,1929.3308661502087
2929.0,5301.133705571424,3519.7158961786095,1962.2974214446922
2930.0,5281.205547242878,3783.8587833175616,1974.4788506513173
2931.0,5317.705750119196,4049.2237167216977,1972.0159815427342
2932.0,5208.873294959247,4290.5865604402525,1967.4525430436686
2933.0,5192.383449287441,4502.588129320933,1976.2386314111195
2934.0,5189.3341999145205,4729.574858122248,1981.7021900742216
2935.0,5238.2789307200865,4982.037276300687,1975.8677972601974
2936.0,5218.747912056761,5178.1472422737515,1960.6537930051788
2937.0,5222.323975692474,5363.158362983352,1957.1848351002284
2938.0,5216.340671116763,5532.981822435573,1946.4307781486552
2939.0,5205.706354568919,5716.867099528583,1928.4189297361875
2940.0,5189.882033789572,5884.607045287488,1904.354392764252
2941.0,5195.988582313082,6061.164060608659,1887.784837267581
2942.0,5196.082989105188,6220.756395617242,1862.1727573894655
2943.0,5210.976431561686,6383.727299316921,1836.2184836241013
2944.0,5198.88849422284,6539.252828433701,1801.4210660209842
2945.0,5206.447440909385,6680.239576493638,1763.8308494676887
2946.0,5219.077980197428,6816.930998671414,1730.9349329237295
2947.0,5212.958000211371,6943.053544198648,1694.7193298573245
2948.0,5217.7002740357575,7076.324834744538,1651.706961236713
2949.0,5222.973064440878,7207.294750131974,1606.021726535179
2950.0,5212.233052081321,7334.1670074844005,1565.064489956216
2951.0,5236.079297451083,7445.629109336865,1523.4812668112609
2952.0,5216.889717098401,7565.889938789365,1462.0848581441626
2953.0,5222.0462603691085,7675.804538091943,1412.3247499909767
2954.0,5233.184760886615,7788.117042353977,1361.1222396540907
2955.0,5222.413278151082,7887.576138457902,1296.106070409931
2956.0,5230.688454742145,7996.563236784948,1237.6745703610693
2957.0,5246.754947848129,8095.825855493623,1188.81158731832
2958.0,5217.924011367712,8184.048203875326,1118.0876637566646
2959.0,5242.836258978626,8278.625760832794,1064.2270158107563
2960.0,5241.514356156297,8368.874437417926,983.7977369222881
2961.0,5250.392186641049,8448.388797141099,914.5814524544237
2962.0,5251.0857179193235,8537.9248444318,834.7278933262086
2963.0,5258.940692558795,8625.49150448439,753.3976840867163
2964.0,5274.398391243741,8701.638773131452,675.6450171310263
2965.0,5262.345710472298,8776.411428596595,617.2847821075317
2966.0,5246.162474829015,8827.484633322703,519.3677718570679
2967.0,5230.640030280326,8876.37636000024,462.571948123437
2968.0,5215.282783505285,8924.722717165634,416.05642101901435
2969.0,5200.255932277541,8971.978335306743,390.1014871730082
2970.0,4849.581261079601,7920.173395115526,1214.8287401055713
2971.0,4732.331361933982,7623.851039679858,1470.2289534089534
2972.0,4627.2805016619,7331.29614735507,1669.558417173057
2973.0,4526.286828068498,7072.596248386448,1861.6205776464242
2974.0,4448.525419728241,6831.0002308570565,2059.0745194629576
