Label,screen_x,screen_y,world_x,world_y,world_z
1,6,765,6080,20,0
2,76,734,5620,20,0
3,431,587,3050,20,0
4,717,471,480,20,0
5,761,452,20,20,0
6,114,801,6080,780,0
7,183,770,5620,780,0
8,534,616,3050,780,0
9,818,493,480,780,0
10,860,473,20,780,0
11,811,1046,6080,4700,0
12,877,1000,5620,4700,0
13,1192,786,3050,4700,0
14,1427,625,480,4700,0
15,1462,601,20,4700,0
16,1269,1193,6080,6700,0
17,1298,792,6080,6700,1555
18,1840,400,20,6700,1555
19,1809,677,20,6700,0
