Label,screen_x,screen_y,world_x,world_y,world_z
1,8,730,20,13380,0
2,83,698,480,13380,0
3,441,559,3050,13380,0
4,735,440,5620,13380,0
5,778,424,6080,13380,0
6,113,767,20,12620,0
7,186,739,480,12620,0
8,546,587,3050,12620,0
9,835,466,5620,12620,0
10,876,447,6080,12620,0
11,809,1023,20,8700,0
12,876,979,480,8700,0
13,1443,611,5620,8700,0
14,1479,586,6080,8700,0
15,1323,777,20,6700,1555
16,1836,673,6080,6700,0
17,1877,389,6080,6700,1555
