Label,screen_x,screen_y,world_x,world_y,world_z
1,20,830,480,13380,0
2,303,562,3050,13380,0
3,515,366,5620,13380,0
4,545,338,6080,13380,0
5,141,920,20,12620,0
6,197,859,480,12620,0
7,461,582,3050,12620,0
8,655,380,5620,12620,0
9,681,351,6080,12620,0
10,1234,1094,20,8700,0
11,1257,1020,480,8700,0
12,1357,692,3050,8700,0
13,1425,461,5620,8700,0
14,1434,429,6080,8700,0
15,1847,1173,20,6700,0
16,1839,478,6080,6700,0
17,1883,189,6080,6700,1555
18,1897,405,3040,6700,1555
