Label,screen_x,screen_y,world_x,world_y,world_z
1,1878,891,480,20,0
2,1609,614,3050,20,0
3,1762,974,20,780,0
4,1709,912,480,780,0
5,1457,627,3050,780,0
6,1272,421,5620,780,0
7,1247,392,6080,780,0
8,690,1091,20,4700,0
9,666,1021,480,4700,0
10,575,696,3050,4700,0
11,512,468,5620,4700,0
12,505,436,6080,4700,0
13,82,1148,20,6700,0
14,32,702,20,6700,1555
15,115,463,6080,6700,0
16,101,170,6080,6700,1555
