Label,screen_x,screen_y,world_x,world_y,world_z
1,1888,805,5620,13380,0
2,1604,549,3050,13380,0
3,1393,360,480,13380,0
4,1363,332,20,13380,0
5,1772,890,6080,12620,0
6,1717,833,5620,12620,0
7,1452,568,3050,12620,0
8,1256,374,480,12620,0
9,1232,346,20,12620,0
10,707,1076,6080,8700,0
11,680,1007,5620,8700,0
12,572,689,3050,8700,0
13,499,465,480,8700,0
14,491,435,20,8700,0
15,95,1175,6080,6700,0
16,6,747,6080,6700,1555
17,95,484,20,6700,0
18,57,201,20,6700,1555
