Label,screen_x,screen_y,world_x,world_y,world_z
1,44,856,5620,20,0
2,521,403,480,20,0
3,550,373,20,20,0
4,167,942,6080,780,0
5,221,884,5620,780,0
6,471,613,3050,780,0
7,656,414,480,780,0
8,683,384,20,780,0
9,1245,1101,6080,4700,0
10,1265,1030,5620,4700,0
11,1356,707,3050,4700,0
12,1416,480,480,4700,0
13,1427,450,20,4700,0
14,1835,1166,6080,6700,0
15,1900,744,6080,6700,1555
16,1816,488,20,6700,0
17,1851,203,20,6700,1555
