Label,screen_x,screen_y,world_x,world_y,world_z
1,1132,465,20,13380,0
2,1174,480,480,13380,0
3,1461,591,3050,13380,0
4,1814,727,5620,13380,0
5,1886,754,6080,13380,0
6,1036,487,20,12620,0
7,1077,504,480,12620,0
8,1360,620,3050,12620,0
9,1714,764,5620,12620,0
10,1785,792,6080,12620,0
11,451,626,20,8700,0
12,483,648,480,8700,0
13,724,801,3050,8700,0
14,1044,1001,5620,8700,0
15,1110,1043,6080,8700,0
16,105,704,20,6700,0
17,76,431,20,6700,1555
18,610,813,6080,6700,1555
